TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
BERG LACQUER CO,90023BRGLC3150E,2019,900233632,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Acetonitrile (75-05-8),1319218381376,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,BERG LACQUER CO,       ,424.91,3.91,0.00,0.00,421.00,"37,684.91",0
DUCOMMUN AEROSTRUCTURES INC ORANGE FACILITY,92665RCHMN1885N,2018,92865,"ORANGE, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1318217423969,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,DUCOMMUN INC,       ,424.00,424.00,0.00,0.00,0.00,"31,416.00",58
COAST TO COAST CIRCUITS INC (CA OPERATIONS),92649SPDYC5332C,2019,92649,"HUNTINGTON BEACH, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1319217971478,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,C3 CAPITAL PARTNERS LP,       ,423.00,0.00,0.00,0.00,423.00,"10,586.00",0
HAWKER PACIFIC AEROSPACE,91352FLGHT11310,2019,91352,"SUN VALLEY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1319218622037,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,LUFTHANSA TECHNIK AG,       ,423.00,0.00,0.00,0.00,423.00,423.00,0
ROHM & HAAS CHEMICALS LLC,94545RHMND25500,2019,94545,"HAYWARD, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Acrylonitrile (107-13-1),1319218513517,325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,       ,423.00,420.00,0.00,0.00,3.00,972.00,"26,991"
UNIVAR SOLUTIONS CARSON CA,90810SHLND20915,2019,90810,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1319218493284,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,UNIVAR SOLUTIONS USA INC,       ,422.20,119.20,0.00,0.00,303.00,"23,124.10",18
INGOMAR PACKING,93635NGMRP25922,2020,93635,"LOS BANOS, CA","MERCED, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1320218745800,311 Food,311421 Fruit and Vegetable Canning,INGOMAR PACKING CO,       ,421.00,421.00,0.00,0.00,0.00,421.00,0
KIK SOCAL INC,90670TCHMP9028D,2020,90670,"SANTA FE SPRINGS, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1320218706683,325 Chemicals,325611 Soap and Other Detergent Manufacturing,KIK CUSTOM PRODUCTS INC,       ,421.00,421.00,0.00,0.00,0.00,421.00,65
ROHM & HAAS CHEMICALS LLC,94545RHMND25500,2019,94545,"HAYWARD, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methyl methacrylate (80-62-6),1319218513556,325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,       ,421.00,420.00,0.00,0.00,1.00,"18,096.00",0
ARROWHEAD PRODUCTS CORP,90720RRWHD4411K,2019,90720,"LOS ALAMITOS, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cobalt compounds (N096),1319218044129,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,SUMMA HOLDINGS INC,       ,420.60,0.00,0.00,0.00,420.60,"7,361.30",0
PHILLIPS 66 LOS ANGELES TERMINAL,90061TSCLS13500,2020,90061,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1320218905596,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,PHILLIPS 66 CO,       ,420.00,420.00,0.00,0.00,0.00,468.00,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2020,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Carbon disulfide (75-15-0),1320219105424,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,420.00,420.00,0.00,0.00,0.00,446.00,1
POLYPEPTIDE LABORATORIES INC,9050WPLYPP365MA,2018,90503,"TORRANCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","N,N-Dimethylformamide (68-12-2)",1318217378001,325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,POLYPEPTIDE LABORATORIES INC,       ,419.80,419.80,0.00,0.00,0.00,"821,003.80",29
BRENNTAG PACIFIC INC,94804GRTWS860WH,2019,94804,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1319218355889,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,BRENNTAG NORTH AMERICA INC,       ,419.78,177.78,0.00,0.00,242.00,419.78,0
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2018,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1318217522352,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,419.30,33.10,0.20,0.00,386.00,419.30,46
AMERICAN RENOLIT CORP LA,90040LLYNC6900E,2019,90040,"COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Di(2-ethylhexyl) phthalate (117-81-7),1319217811088,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,AMERICAN RENOLIT CORP,       ,417.00,417.00,0.00,0.00,0.00,417.00,970
MILK SPECIALTIES GLOBAL - VISALIA,9329WMLKSP715NR,2019,93291,"VISALIA, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217851106,311 Food,"311514 Dry, Condensed, and Evaporated Dairy Product Manufacturing",MILK SPECIALTIES GLOBAL,       ,417.00,0.00,0.00,0.00,417.00,"4,166.00",0
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2018,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Phenol (108-95-2),1318217293291,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,416.00,400.00,5.00,0.00,11.00,"130,421.00",0
CHEMOIL TERMINALS LLC,90810CRSNT2365E,2018,90810,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1318217264201,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,CHEMOIL TERMINALS LLC,       ,414.45,407.20,4.37,0.00,2.88,414.45,14
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2020,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1320219375413,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,414.00,414.00,0.00,0.00,0.00,414.00,1
US NAVAL SUBMARINE BASE SAN DIEGO,92106SNVYN140SY,2020,92106,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1320219111857,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,414.00,0.00,0.00,0.00,414.00,"2,938.00",0
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2018,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Polycyclic aromatic compounds (N590),1318217293303,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,413.00,6.00,0.00,0.00,407.00,"26,416.00",159
HP HOOD LLC,95826CRYST8340B,2018,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Peroxyacetic acid (79-21-0),1318217100559,311 Food,311511 Fluid Milk Manufacturing,HP HOOD LLC,       ,412.80,412.80,0.00,0.00,0.00,"26,423.40",414
ULTRAMAR INC WILMINGTON REFINERY,90748NNPCF2402E,2019,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1319218428504,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,412.70,350.00,0.00,0.00,62.70,"26,477.80",7
AGILENT TECHNOLOGIES INC,95630GLNTT91BLU,2019,95630,"FOLSOM, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1319217758580,334 Computers and Electronic Products,334516 Analytical Laboratory Instrument Manufacturing,AGILENT TECHNOLOGIES INC,       ,412.00,412.00,0.00,0.00,0.00,"44,138.00",0
UNIVAR SOLUTIONS CARSON CA,90810SHLND20915,2019,90810,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1319218493171,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,UNIVAR SOLUTIONS USA INC,       ,411.70,108.70,0.00,0.00,303.00,"2,484.70",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2019,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diethanolamine (111-42-2),1319218142723,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,411.00,411.00,0.00,0.00,0.00,410.00,210
BALTIMORE AIRCOIL CO,9363WBLTMR15341,2020,93638,"MADERA, CA","MADERA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel and nickel compounds (N495),1320218732422,333 Machinery,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration..,AMSTED INDUSTRIES INC,       ,410.20,2.20,0.00,0.00,408.00,"152,546.20",205
J R SIMPLOT CO LATHROP,95330FRSMP16777,2019,95330,"LATHROP, CA","SAN JOAQUIN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diisocyanates (N120),1319217961465,325 Chemicals,325312 Phosphatic Fertilizer Manufacturing,J R SIMPLOT CO,       ,409.40,45.40,0.00,0.00,364.00,409.40,590
GLADDING MCBEAN,95648GLDDN6017T,2020,95648,"LINCOLN, CA","PLACER, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Barium and barium compounds (N040),1320219004672,327 Nonmetallic Mineral Product,327120 Clay Building Material and Refractories Manufacturing,PACIFIC COAST BUILDING PRODUCTS,       ,409.05,9.94,9.11,390.00,0.00,409.05,9
CAMBRO MANUFACTURING CO SKYLAB RD FACILITY,9264WCMBRM581SK,2019,92647,"HUNTINGTON BEACH, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diisocyanates (N120),1319217877214,326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,CAMBRO MANUFACTURING CO,       ,409.00,0.00,0.00,0.00,409.00,409.00,1
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2018,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cumene (98-82-8),1318217293101,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,409.00,350.00,0.00,0.00,59.00,989.00,0
MONOGRAM AEROSPACE FASTENERS,9004WMNGRM3423S,2020,90040,"COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1320218818488,332 Fabricated Metals,"332722 Bolt, Nut, Screw, Rivet, and Washer Manufacturing",NA,       ,408.78,0.06,0.00,0.00,408.72,"1,078.43",1
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2019,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1319218498778,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,408.00,408.00,0.00,0.00,0.00,408.00,1
SIERRA ALUMINUM CO PLANT II,92355BNNZL11711,2020,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1320218725087,331 Primary Metals,"331318 Other Aluminum Rolling, Drawing, and Extruding",SIERRA ALUMINUM CO,       ,406.79,406.79,0.00,0.00,0.00,"81,098.99",5
AGILENT TECHNOLOGIES INC,95052HWLTT5301S,2018,95051,"SANTA CLARA, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1318216837082,334 Computers and Electronic Products,334516 Analytical Laboratory Instrument Manufacturing,AGILENT TECHNOLOGIES INC,       ,406.00,406.00,0.00,0.00,0.00,"55,143.00",0
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2018,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Molybdenum trioxide (1313-27-5),1318217440472,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,406.00,23.00,0.00,0.00,383.00,"4,506.00",62
TORRANCE REFINING CO LLC,90509MBLLC3700W,2020,90504,"TORRANCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320219267580,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,406.00,317.00,0.00,0.00,89.00,"1,789.00","1,387"
TRICAL MOJAVE,93501NKLRC1667P,2020,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Propylene oxide (75-56-9),1320218819187,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,406.00,406.00,0.00,0.00,0.00,406.00,31
BAKERSFIELD RENEWABLE FUELS LLC - AREAS 1 & 2,93308TXCRF6451R,2018,93308,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318217419807,324 Petroleum,324110 Petroleum Refineries,GLOBAL CLEAN ENERGY HOLDINGS INC,       ,405.87,0.00,0.00,405.87,0.00,405.87,0
CALPORTLAND CO MOJAVE PLANT,93502CLFRN9350O,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1319217982913,327 Nonmetallic Mineral Product,327310 Cement Manufacturing,TAIHEIYO CEMENT USA INC,       ,405.70,405.70,0.00,0.00,0.00,405.70,8
TORRANCE REFINING CO LLC,90509MBLLC3700W,2020,90504,"TORRANCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320219267554,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,405.60,73.30,0.00,20.00,312.30,405.60,557
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1318217234246,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,405.00,280.00,0.00,0.00,125.00,"1,065.00","2,044"
TRICAL MOJAVE,93501NKLRC1667P,2018,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Propylene oxide (75-56-9),1318217165012,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,405.00,405.00,0.00,0.00,0.00,"1,113.00",30
TRICAL MOJAVE,93501NKLRC1667P,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Propylene oxide (75-56-9),1319218083273,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,405.00,405.00,0.00,0.00,0.00,"1,113.00",30
CP KELCO,92113KLCDV2145E,2020,92113,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218689065,311 Food,311999 All Other Miscellaneous Food Manufacturing,J M HUBER CORP,       ,404.80,0.00,0.00,0.00,404.80,"4,048.00",0
TESORO - STOCKTON TERMINAL,9520WTSRLG33NAV,2018,95206,"STOCKTON, CA","SAN JOAQUIN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cyclohexane (110-82-7),1318217058940,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,404.67,404.67,0.00,0.00,0.00,996.68,0
AGILENT TECHNOLOGIES INC,95052HWLTT5301S,2019,95051,"SANTA CLARA, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1319217733791,334 Computers and Electronic Products,334516 Analytical Laboratory Instrument Manufacturing,AGILENT TECHNOLOGIES INC,       ,403.00,403.00,0.00,0.00,0.00,"65,392.00",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1318217068737,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,403.00,308.00,2.00,0.00,93.00,454.00,7
TRICAL MOJAVE,93501NKLRC1667P,2020,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chloropicrin (76-06-2),1320218819175,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,403.00,403.00,0.00,0.00,0.00,403.00,21
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2018,90755,"SIGNAL HILL, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cyclohexane (110-82-7),1318217068410,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,402.00,396.00,0.00,0.00,6.00,896.00,0
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,94510XXNCS3400E,2019,94510,"BENICIA, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Hydrogen cyanide (74-90-8),1319217762119,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,402.00,368.00,34.00,0.00,0.00,"147,710.00",65
PACIFIC SCIENTIFIC ENERGETICS MATERIALS CO CALIFORNIA,95023TLDYN3601U,2019,95023,"HOLLISTER, CA","SAN BENITO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1319217930724,325 Chemicals,325920 Explosives Manufacturing,NA,       ,401.25,1.53,0.00,0.00,399.72,401.25,2
SENIOR AEROSPACE KETEMA DIV,92022MTKNC790GR,2020,92021,"EL CAJON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1320219239833,336 Transportation Equipment,336412 Aircraft Engine and Engine Parts Manufacturing,SENIOR OPERATIONS PLC,       ,401.11,0.11,0.00,0.00,401.00,401.11,43
CHEVRON MONTEBELLO TERMINAL,90640CHVRN601SV,2020,90640,"MONTEBELLO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1320219087778,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,CHEVRON CORP,       ,401.00,401.00,0.00,0.00,0.00,"1,267.00",5
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2020,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diethanolamine (111-42-2),1320219105158,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,401.00,401.00,0.00,0.00,0.00,400.00,205
TRICAL MOJAVE,93501NKLRC1667P,2018,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chloropicrin (76-06-2),1318217165000,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,401.00,401.00,0.00,0.00,0.00,402.00,20
TRICAL MOJAVE,93501NKLRC1667P,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chloropicrin (76-06-2),1319218083261,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,401.00,401.00,0.00,0.00,0.00,402.00,21
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2020,90755,"SIGNAL HILL, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1320219075153,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,399.00,330.00,0.00,0.00,69.00,"1,099.00",0
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2020,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Phenol (108-95-2),1320218958991,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,398.00,364.00,5.00,0.00,29.00,"150,399.60",0
PHILLIPS 66 RICHMOND TERMINAL,94804TSCRC1300C,2019,94804,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1319218002246,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,PHILLIPS 66 CO,       ,398.00,394.00,2.00,0.00,2.00,398.00,68
POLYPEPTIDE LABORATORIES INC,9050WPLYPP365MA,2019,90503,"TORRANCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Acetonitrile (75-05-8),1319218148827,325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,POLYPEPTIDE LABORATORIES INC,       ,396.00,396.00,0.00,0.00,0.00,"146,645.00",15
CP KELCO,92113KLCDV2145E,2019,92113,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217828019,311 Food,311999 All Other Miscellaneous Food Manufacturing,J M HUBER CORP,       ,395.20,0.00,0.00,0.00,395.20,"3,952.00",0
ARCADIA INC,90023RCDNC3225E,2019,90058,"VERNON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1319218183616,332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",ARCADIA INC,       ,395.00,395.00,0.00,0.00,0.00,"24,660.00",5
CHEVRON MONTEBELLO TERMINAL,90640CHVRN601SV,2018,90640,"MONTEBELLO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1318216850824,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,CHEVRON CORP,       ,395.00,395.00,0.00,0.00,0.00,"1,036.00",0
HELENA INDUSTRIES LLC,93630HLNCH1075S,2018,93630,"KERMAN, CA","FRESNO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1318217474093,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,MARUBENI AMERICA CORP,       ,395.00,0.00,0.00,0.00,395.00,395.00,0
EQUILON SAN JOSE TERMINAL,95131QLNSN2165O,2019,95131,"SAN JOSE, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1319218147837,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,SHELL PETROLEUM INC,       ,394.30,0.00,0.00,0.00,394.30,394.30,0
LEHIGH SOUTHWEST CEMENT CO,95014KSRCMNAXXX,2018,95014,"CUPERTINO, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel and nickel compounds (N495),1318217531680,327 Nonmetallic Mineral Product,327310 Cement Manufacturing,LEHIGH HANSON,       ,393.79,82.50,311.29,0.00,0.00,393.79,"22,307"
CONTINENTAL COATINGS CO INC,92337CNTNN10938,2018,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1318217201615,325 Chemicals,325510 Paint and Coating Manufacturing,CONTINENTAL COATINGS CO INC,       ,393.00,393.00,0.00,0.00,0.00,393.00,29
HP HOOD LLC,95826CRYST8340B,2019,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Peroxyacetic acid (79-21-0),1319217846409,311 Food,311511 Fluid Milk Manufacturing,HP HOOD LLC,       ,392.20,392.20,0.00,0.00,0.00,"25,992.40",397
SHERWIN-WILLIAMS CO,90745LDQKR21243,2019,92395,"VICTORVILLE, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1319218318653,325 Chemicals,325510 Paint and Coating Manufacturing,THE SHERWIN-WILLIAMS CO,       ,392.00,392.00,0.00,0.00,0.00,"1,116.00",0
BRENNTAG PACIFIC INC,94804GRTWS860WH,2020,94804,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1320218661320,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,BRENNTAG NORTH AMERICA INC,       ,391.48,191.01,0.00,0.00,200.47,391.48,0
